,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,,,,,
Dambi NS,,,0 1 -1,,
Francis NS,,,0 1 -1,1 0 +1,
margaret NS,,,0 1 -1,,
Ivy NS,,,,,
