,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,1 1 +0,0 1 -1,4 0 +4,0 1 -1,1 1 +0
Dambi NS,0 2 -2,7 1 +6,6 7 -1,4 3 +1,6 3 +3
Francis NS,,,3 1 +2,1 1 +0,2 0 +2
margaret NS,,1 1 +0,5 1 +4,3 0 +3,4 3 +1
Ivy NS,2 2 +0,0 1 -1,3 5 -2,1 0 +1,
