,Estrella RRQ,Kushy RRQ,Jemkin RRQ,xffero RRQ,Monyet RRQ
Persia NS,,,1 0 +1,,
Dambi NS,,1 0 +1,4 2 +2,,0 1 -1
Francis NS,,,1 0 +1,,1 0 +1
margaret NS,,0 1 -1,3 0 +3,,1 0 +1
Ivy NS,,,1 3 -2,1 0 +1,
