,ban GE,Kr1stal GE,yoman GE,UdoTan GE,Papi GE
Ivy NS,1 2 -1,1 0 +1,,0 1 -1,
Dambi NS,6 1 +5,0 2 -2,0 1 -1,3 4 -1,0 2 -2
Persia NS,2 1 +1,1 0 +1,1 0 +1,0 1 -1,1 1 +0
Francis NS,,1 0 +1,,1 1 +0,
Rb NS,,2 0 +2,1 1 +0,,2 0 +2
