,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Rb NS,,3 Round 6 yoman UdoTan Round 10 ban yoman Round 11 Kr1stal yoman,,,,,1 Round 6 UdoTan yoman,,,,56,0,1
Persia NS,,1 Round 12 yoman Kr1stal,1 Round 4 yoman Papi ban,1 Round 1 Papi Kr1stal ban yoman Persia,,1 Round 1 yoman,,,,,56,1,0
Dambi NS,,4 Round 2 Papi Kr1stal Round 12 UdoTan Papi Round 14 Papi yoman Round 17 Kr1stal Papi,2 Round 8 UdoTan ban yoman Round 13 ban Kr1stal UdoTan,,,,,,,,42,0,0
Francis NS,,2 Round 13 Papi yoman Round 14 UdoTan ban,1 Round 6 Kr1stal Papi ban,,,,,,,,41,5,0
Ivy NS,,3 Round 2 UdoTan yoman Round 19 Papi ban Round 20 ban Papi,3 Round 7 ban yoman UdoTan Round 10 Kr1stal UdoTan Papi Round 15 Kr1stal ban yoman,,,,,1 Round 15 Kr1stal yoman ban,,,76,2,1
UdoTan GE,,4 Round 2 Persia Dambi Round 4 Dambi Persia Round 16 Dambi Francis Round 17 Francis Dambi,,,,1 Round 11 Rb,,,,,66,0,0
ban GE,,1 Round 15 Francis Rb,1 Round 3 Ivy Dambi Rb,,,,,,,,39,1,0
Kr1stal GE,,3 Round 1 Dambi Francis Round 12 Ivy Francis Round 19 Dambi Francis,1 Round 11 Dambi Ivy Persia,,,,,,,,49,5,0
Papi GE,,,1 Round 5 Persia Ivy Francis,,,,,,,,28,0,0
yoman GE,,3 Round 3 Francis Persia Round 17 Rb Persia Round 19 Ivy Persia,1 Round 13 Ivy Dambi Persia,,,,1 Round 17 Persia Rb,,,,81,0,0
