,ban GE,Kr1stal GE,yoman GE,UdoTan GE,Papi GE
Ivy NS,6 3 +3,5 2 +3,3 3 +0,3 1 +2,4 1 +3
Dambi NS,3 2 +1,3 5 -2,2 3 -1,5 5 +0,4 2 +2
Persia NS,5 1 +4,2 1 +1,3 4 -1,2 3 -1,3 2 +1
Francis NS,3 1 +2,2 3 -1,2 2 +0,1 4 -3,4 2 +2
Rb NS,1 3 -2,4 0 +4,3 6 -3,4 3 +1,1 1 +0
