,ban GE,Kr1stal GE,yoman GE,UdoTan GE,Papi GE
Ivy NS,0 1 -1,,,0 1 -1,
Dambi NS,4 0 +4,,,1 2 -1,0 1 -1
Persia NS,1 1 +0,1 0 +1,1 0 +1,,1 1 +0
Francis NS,,,,1 0 +1,
Rb NS,,1 0 +1,1 1 +0,,1 0 +1
