,ban GE,Kr1stal GE,yoman GE,UdoTan GE,Papi GE
Ivy NS,6 6 +0,6 4 +2,4 6 -2,6 5 +1,7 2 +5
Dambi NS,11 4 +7,6 9 -3,7 4 +3,8 9 -1,6 6 +0
Persia NS,8 4 +4,4 1 +3,5 7 -2,4 7 -3,5 4 +1
Francis NS,6 7 -1,10 4 +6,6 3 +3,8 5 +3,9 6 +3
Rb NS,1 7 -6,7 3 +4,7 11 -4,6 7 -1,6 1 +5
