,ban GE,Kr1stal GE,yoman GE,UdoTan GE,Papi GE
Ivy NS,,,0 1 -1,,
Dambi NS,,,0 1 -1,,
Persia NS,,,0 1 -1,,
Francis NS,,,,,
Rb NS,,,,,
