,ban GE,Kr1stal GE,yoman GE,UdoTan GE,Papi GE
Ivy NS,0 3 -3,1 2 -1,1 3 -2,3 4 -1,3 1 +2
Dambi NS,8 2 +6,3 4 -1,5 1 +4,3 4 -1,2 4 -2
Persia NS,3 3 +0,2 0 +2,2 3 -1,2 4 -2,2 2 +0
Francis NS,3 6 -3,8 1 +7,4 1 +3,7 1 +6,5 4 +1
Rb NS,0 4 -4,3 3 +0,4 5 -1,2 4 -2,5 0 +5
