,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,,,,,
xenom MIBR,,,,,1 0 +1
Verno MIBR,0 1 -1,,,0 1 -1,
aspas MIBR,4 1 +3,1 0 +1,,2 0 +2,3 0 +3
artzin MIBR,0 1 -1,,,,
