,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,1 0 +1,1 0 +1,1 0 +1,,
xenom MIBR,1 0 +1,0 1 -1,,,0 1 -1
Verno MIBR,2 0 +2,0 1 -1,,,0 1 -1
aspas MIBR,1 0 +1,,2 0 +2,2 0 +2,
artzin MIBR,4 2 +2,,0 1 -1,,1 0 +1
