,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,3 4 -1,2 3 -1,3 2 +1,4 3 +1,5 2 +3
xenom MIBR,1 5 -4,1 3 -2,3 2 +1,3 3 +0,2 2 +0
Verno MIBR,3 5 -2,1 2 -1,4 2 +2,1 2 -1,2 3 -1
aspas MIBR,3 3 +0,4 2 +2,5 6 -1,5 2 +3,6 4 +2
artzin MIBR,3 6 -3,3 1 +2,1 2 -1,0 2 -2,3 3 +0
