,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,0 1 -1,,,,
xenom MIBR,0 1 -1,,,,1 0 +1
Verno MIBR,0 2 -2,,0 1 -1,0 1 -1,
aspas MIBR,5 2 +3,2 0 +2,1 0 +1,3 0 +3,3 0 +3
artzin MIBR,0 2 -2,1 0 +1,,,1 0 +1
