,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,6 3 +3,4 1 +3,3 2 +1,1 3 -2,4 2 +2
xenom MIBR,3 1 +2,2 3 -1,1 4 -3,3 2 +1,1 3 -2
Verno MIBR,4 3 +1,3 2 +1,2 2 +0,2 2 +0,5 4 +1
aspas MIBR,3 2 +1,2 6 -4,7 3 +4,8 3 +5,5 1 +4
artzin MIBR,5 3 +2,5 1 +4,2 3 -1,2 5 -3,2 3 -1
