,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,1 1 +0,,2 1 +1,,1 0 +1
xenom MIBR,0 1 -1,,,,0 1 -1
Verno MIBR,0 1 -1,,0 1 -1,,
aspas MIBR,3 1 +2,1 0 +1,2 1 +1,1 0 +1,1 0 +1
artzin MIBR,1 1 +0,1 0 +1,0 1 -1,0 2 -2,1 1 +0
