,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,2 1 +1,1 0 +1,3 1 +2,,1 0 +1
xenom MIBR,1 1 +0,0 1 -1,0 1 -1,,1 2 -1
Verno MIBR,3 2 +1,1 1 +0,0 1 -1,,0 1 -1
aspas MIBR,4 1 +3,2 0 +2,7 3 +4,4 0 +4,1 0 +1
artzin MIBR,7 7 +0,2 0 +2,0 3 -3,0 3 -3,3 1 +2
