,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,17 10 +7,9 5 +4,11 8 +3,8 11 -3,12 9 +3
xenom MIBR,6 9 -3,8 10 -2,8 10 -2,6 10 -4,9 9 +0
Verno MIBR,10 15 -5,7 5 +2,10 7 +3,6 9 -3,10 10 +0
aspas MIBR,11 7 +4,11 12 -1,16 16 +0,20 9 +11,18 7 +11
artzin MIBR,12 14 -2,10 5 +5,3 10 -7,3 12 -9,6 10 -4
