,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,0 1 -1,,,,
xenom MIBR,0 1 -1,,,,
Verno MIBR,0 1 -1,,0 1 -1,,
aspas MIBR,0 1 -1,,,,
artzin MIBR,0 1 -1,1 0 +1,,,1 0 +1
