,Flashback DRX,MaKo DRX,free1ng DRX,BeYN DRX,HYUNMIN DRX
cortezia MIBR,8 3 +5,3 1 +2,5 4 +1,3 5 -2,3 5 -2
xenom MIBR,2 3 -1,5 4 +1,4 4 +0,0 5 -5,6 4 +2
Verno MIBR,3 7 -4,3 1 +2,4 3 +1,3 5 -2,3 3 +0
aspas MIBR,5 2 +3,5 4 +1,4 7 -3,7 4 +3,7 2 +5
artzin MIBR,4 5 -1,2 3 -1,0 5 -5,1 5 -4,1 4 -3
