,Derrek EG,yay EG,icy EG,NaturE EG,supamen EG
Cryocells 100T,7 5 +2,13 5 +8,15 5 +10,9 8 +1,10 3 +7
Boostio 100T,5 11 -6,5 8 -3,6 4 +2,5 2 +3,3 7 -4
eeiu 100T,8 7 +1,5 3 +2,8 4 +4,8 6 +2,11 3 +8
Asuna 100T,4 6 -2,5 6 -1,4 6 -2,6 11 -5,3 4 -1
zander 100T,5 5 +0,5 7 -2,4 7 -3,4 4 +0,6 8 -2
