,Derrek EG,yay EG,icy EG,NaturE EG,supamen EG
Cryocells 100T,1 0 +1,,,,1 0 +1
Boostio 100T,1 0 +1,,,,0 2 -2
eeiu 100T,,,1 0 +1,,
Asuna 100T,,2 3 -1,1 1 +0,1 0 +1,1 0 +1
zander 100T,,,1 1 +0,0 1 -1,1 1 +0
