,Derrek EG,yay EG,icy EG,NaturE EG,supamen EG
Cryocells 100T,,1 0 +1,4 0 +4,,
Boostio 100T,0 1 -1,,1 0 +1,,
eeiu 100T,,,,,2 0 +2
Asuna 100T,,1 2 -1,1 2 -1,0 1 -1,1 1 +0
zander 100T,,1 0 +1,1 0 +1,,1 2 -1
