,Derrek EG,yay EG,icy EG,NaturE EG,supamen EG
Cryocells 100T,1 0 +1,1 0 +1,4 0 +4,,1 0 +1
Boostio 100T,1 1 +0,,1 0 +1,,0 2 -2
eeiu 100T,,,1 0 +1,,2 0 +2
Asuna 100T,,3 5 -2,2 3 -1,1 1 +0,2 1 +1
zander 100T,,1 0 +1,2 1 +1,0 1 -1,2 3 -1
