,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL,Jamppi BBL
MiniBoo TH,3 1 +2,7 6 +1,3 4 -1,2 5 -3,3 7 -4
RieNs TH,4 3 +1,3 5 -2,4 5 -1,1 4 -3,5 2 +3
Boo TH,3 3 +0,2 3 -1,3 5 -2,5 2 +3,4 7 -3
benjyfishy TH,8 3 +5,6 3 +3,4 3 +1,4 6 -2,4 1 +3
Wo0t TH,3 4 -1,3 4 -1,4 9 -5,4 2 +2,1 1 +0
