,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL,Jamppi BBL
MiniBoo TH,6 4 +2,10 13 -3,6 6 +0,6 8 -2,7 8 -1
RieNs TH,6 4 +2,6 8 -2,6 9 -3,7 6 +1,9 7 +2
Boo TH,6 4 +2,6 5 +1,5 10 -5,7 5 +2,4 9 -5
benjyfishy TH,11 5 +6,11 6 +5,7 6 +1,7 11 -4,9 4 +5
Wo0t TH,10 6 +4,4 11 -7,11 11 +0,6 5 +1,3 6 -3
