,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL,Jamppi BBL
MiniBoo TH,2 0 +2,0 3 -3,1 1 +0,1 1 +0,
RieNs TH,,,1 0 +1,0 1 -1,1 0 +1
Boo TH,,,,,
benjyfishy TH,,1 0 +1,,1 0 +1,
Wo0t TH,2 0 +2,,4 2 +2,,0 1 -1
