,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL,Jamppi BBL
MiniBoo TH,1 0 +1,1 2 -1,1 1 +0,,2 0 +2
RieNs TH,1 1 +0,,1 1 +0,,
Boo TH,1 0 +1,0 1 -1,1 0 +1,,2 1 +1
benjyfishy TH,2 0 +2,,0 1 -1,,1 0 +1
Wo0t TH,0 2 -2,,1 1 +0,,
