,MAGNUM BBL,PROFEK BBL,LewN BBL,sociablEE BBL,Jamppi BBL
MiniBoo TH,3 3 +0,3 7 -4,3 2 +1,4 3 +1,4 1 +3
RieNs TH,2 1 +1,3 3 +0,2 4 -2,6 2 +4,4 5 -1
Boo TH,3 1 +2,4 2 +2,2 5 -3,2 3 -1,0 2 -2
benjyfishy TH,3 2 +1,5 3 +2,3 3 +0,3 5 -2,5 3 +2
Wo0t TH,7 2 +5,1 7 -6,7 2 +5,2 3 -1,2 5 -3
