,Crws TLN,thyy TLN,JitBoyS TLN,primmie TLN,Killua TLN
Shiro BME,7 7 +0,7 2 +5,2 4 -2,3 10 -7,5 6 -1
dos9 BME,3 0 +3,9 9 +0,4 6 -2,5 7 -2,6 5 +1
BerserX BME,3 2 +1,2 9 -7,1 3 -2,5 7 -2,3 5 -2
Famouz BME,4 8 -4,5 9 -4,3 8 -5,6 1 +5,7 4 +3
NcSlasher BME,2 8 -6,2 4 -2,9 4 +5,3 6 -3,2 4 -2
