,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Famouz BME,,1 Round 17 Crws JitBoyS,1 Round 20 primmie Killua thyy,,1 Round 19 primmie Killua thyy JitBoyS Crws,,,,,,58,0,0
BerserX BME,,1 Round 18 thyy primmie,,,,,,,,,34,0,0
NcSlasher BME,,2 Round 3 JitBoyS primmie Round 9 primmie JitBoyS,,,,,,,,,59,5,0
Shiro BME,,1 Round 20 JitBoyS Crws,1 Round 15 Killua thyy Crws,1 Round 6 Crws thyy Killua JitBoyS,,,,,,,58,1,1
dos9 BME,,3 Round 1 thyy Killua Round 8 Crws primmie Round 13 Killua JitBoyS,1 Round 16 thyy Killua JitBoyS,,,,,,,,45,1,0
Crws TLN,,3 Round 1 BerserX NcSlasher Round 3 NcSlasher Famouz Round 12 Famouz BerserX,,,,,,,,,34,1,0
Killua TLN,,3 Round 3 BerserX Shiro Round 7 NcSlasher BerserX Round 12 dos9 Shiro,1 Round 21 Famouz dos9 BerserX,1 Round 8 NcSlasher BerserX dos9 Shiro,,,1 Round 3 Shiro BerserX,,,,68,7,1
JitBoyS TLN,,3 Round 1 dos9 Famouz Round 13 NcSlasher Famouz Round 16 NcSlasher Famouz,,,,,,,,,30,1,0
primmie TLN,,2 Round 5 dos9 Famouz Round 21 Shiro NcSlasher,2 Round 14 Shiro BerserX dos9 Round 17 Shiro BerserX NcSlasher,,,,,,,,56,0,1
thyy TLN,,4 Round 2 Famouz dos9 Round 7 Famouz dos9 Round 11 BerserX NcSlasher Round 17 Famouz dos9,1 Round 13 dos9 Shiro BerserX,,,,,,,,46,1,0
