,Crws TLN,thyy TLN,JitBoyS TLN,primmie TLN,Killua TLN
Shiro BME,0 1 -1,,1 0 +1,0 2 -2,1 0 +1
dos9 BME,,3 0 +3,,0 1 -1,
BerserX BME,,1 0 +1,,1 0 +1,
Famouz BME,1 0 +1,1 2 -1,,,0 1 -1
NcSlasher BME,1 0 +1,1 0 +1,2 0 +2,1 0 +1,
