,Crws TLN,thyy TLN,JitBoyS TLN,primmie TLN,Killua TLN
Shiro BME,,,0 1 -1,1 0 +1,
dos9 BME,,0 1 -1,2 1 +1,1 0 +1,1 0 +1
BerserX BME,,0 2 -2,,,
Famouz BME,1 0 +1,0 1 -1,0 1 -1,,
NcSlasher BME,,0 1 -1,,0 1 -1,0 1 -1
