,Crws TLN,thyy TLN,JitBoyS TLN,primmie TLN,Killua TLN
Shiro BME,0 1 -1,,1 1 +0,1 2 -1,1 0 +1
dos9 BME,,3 1 +2,2 1 +1,1 1 +0,1 0 +1
BerserX BME,,1 2 -1,,1 0 +1,
Famouz BME,2 0 +2,1 3 -2,0 1 -1,,0 1 -1
NcSlasher BME,1 0 +1,1 1 +0,2 0 +2,1 1 +0,0 1 -1
