,v1c C9,OXY C9,neT C9,Xeppaa C9,mitch C9
Khalil FUR,5 5 +0,5 12 -7,7 4 +3,6 7 -1,7 5 +2
heat FUR,4 6 -2,7 12 -5,6 1 +5,4 8 -4,7 6 +1
havoc FUR,5 14 -9,11 5 +6,7 3 +4,6 8 -2,2 7 -5
raafa FUR,7 10 -3,3 5 -2,3 8 -5,6 5 +1,6 3 +3
pryze FUR,3 6 -3,4 7 -3,4 6 -2,1 7 -6,9 7 +2
