,v1c C9,OXY C9,neT C9,Xeppaa C9,mitch C9
Khalil FUR,3 4 -1,4 8 -4,5 2 +3,5 3 +2,6 4 +2
heat FUR,4 2 +2,7 8 -1,4 0 +4,3 6 -3,5 5 +0
havoc FUR,4 11 -7,9 4 +5,5 2 +3,5 3 +2,1 4 -3
raafa FUR,5 6 -1,1 3 -2,2 3 -1,6 3 +3,4 3 +1
pryze FUR,2 4 -2,1 4 -3,4 3 +1,1 5 -4,8 4 +4
