,v1c C9,OXY C9,neT C9,Xeppaa C9,mitch C9
Khalil FUR,1 1 +0,2 3 -1,,,
heat FUR,,1 3 -2,1 0 +1,,1 0 +1
havoc FUR,1 2 -1,6 0 +6,2 1 +1,2 0 +2,
raafa FUR,,,,,
pryze FUR,0 1 -1,0 2 -2,,,
