,v1c C9,OXY C9,neT C9,Xeppaa C9,mitch C9
Khalil FUR,1 0 +1,0 2 -2,,0 1 -1,
heat FUR,,,1 0 +1,,
havoc FUR,,0 1 -1,1 1 +0,0 1 -1,1 0 +1
raafa FUR,1 1 +0,,1 0 +1,,
pryze FUR,,,0 1 -1,,
