,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pryze FUR,,2 Round 7 neT mitch Round 14 mitch neT,,,,2 Round 13 v1c Round 26 mitch,,,,,33,1,0
Khalil FUR,,2 Round 13 OXY mitch Round 26 v1c neT,3 Round 17 Xeppaa v1c mitch Round 18 mitch Xeppaa neT Round 29 OXY v1c neT,,,,,,,,47,1,0
heat FUR,,4 Round 3 OXY Xeppaa Round 20 neT mitch Round 21 v1c Xeppaa Round 28 mitch Xeppaa,1 Round 15 mitch OXY v1c,1 Round 22 mitch OXY neT v1c,,1 Round 12 v1c,,,,,53,0,0
havoc FUR,,3 Round 1 OXY v1c Round 10 OXY Xeppaa Round 17 OXY neT,,2 Round 8 OXY mitch v1c Xeppaa Round 16 OXY v1c Xeppaa neT,,,,,,,48,1,0
raafa FUR,,3 Round 6 Xeppaa mitch Round 13 Khalil Xeppaa Round 14 OXY v1c,1 Round 3 neT mitch v1c,,,,,,,,39,10,1
mitch C9,,3 Round 9 havoc Khalil Round 11 havoc Khalil Round 27 pryze heat,1 Round 23 pryze heat Khalil,1 Round 26 havoc Khalil heat raafa,,,,,,,44,6,1
neT C9,,2 Round 11 raafa pryze Round 18 havoc pryze,,,,,,,,,25,1,0
Xeppaa C9,,4 Round 15 Khalil heat Round 21 heat pryze Round 25 heat raafa Round 29 raafa Khalil Xeppaa,2 Round 1 heat pryze raafa Round 12 pryze havoc heat,,,3 Round 1 raafa Round 15 heat Round 29 Khalil,,,,,40,1,1
v1c C9,,7 Round 7 raafa havoc Round 9 heat pryze Round 12 Khalil raafa Round 13 havoc heat Round 15 havoc pryze Round 23 havoc raafa Round 27 havoc Khalil,1 Round 10 raafa havoc pryze,,,1 Round 9 pryze,,,,,55,2,1
OXY C9,,6 Round 5 pryze havoc Round 6 pryze havoc Round 18 heat Khalil Round 21 havoc Khalil Round 24 heat Khalil Round 30 Khalil heat,1 Round 2 pryze heat Khalil,,,1 Round 18 Khalil,,,,,48,1,1
