,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,3 5 -2,3 0 +3,3 5 -2,1 3 -2,2 3 -1
Shiro BME,2 5 -3,4 0 +4,3 8 -5,3 1 +2,6 1 +5
Famouz BME,3 4 -1,4 3 +1,3 4 -1,2 5 -3,2 2 +0
BerserX BME,6 3 +3,1 2 -1,8 4 +4,5 4 +1,4 3 +1
NcSlasher BME,4 1 +3,0 5 -5,2 3 -1,2 5 -3,2 4 -2
