,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,,,0 2 -2,,
Shiro BME,,,0 2 -2,,
Famouz BME,1 0 +1,1 0 +1,0 2 -2,,
BerserX BME,,,0 1 -1,,
NcSlasher BME,,,0 1 -1,,
