,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,,,0 1 -1,,0 1 -1
Shiro BME,0 1 -1,2 0 +2,0 4 -4,,
Famouz BME,2 1 +1,1 0 +1,,,1 0 +1
BerserX BME,2 0 +2,,2 1 +1,0 1 -1,
NcSlasher BME,0 1 -1,,,1 1 +0,
