,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,,,0 2 -2,,0 1 -1
Shiro BME,0 2 -2,3 1 +2,0 5 -5,,0 1 -1
Famouz BME,3 1 +2,2 0 +2,,,2 0 +2
BerserX BME,3 0 +3,,3 1 +2,2 1 +1,
NcSlasher BME,0 1 -1,,0 1 -1,1 1 +0,1 0 +1
