,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,5 7 -2,7 1 +6,5 11 -6,3 4 -1,3 5 -2
Shiro BME,4 7 -3,6 1 +5,5 12 -7,3 4 -1,6 4 +2
Famouz BME,6 6 +0,6 6 +0,7 4 +3,2 10 -8,5 5 +0
BerserX BME,9 4 +5,1 3 -2,10 8 +2,9 8 +1,5 5 +0
NcSlasher BME,4 4 +0,0 6 -6,2 8 -6,3 8 -5,3 7 -4
