,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,,,0 1 -1,,
Shiro BME,0 1 -1,1 1 +0,0 1 -1,,0 1 -1
Famouz BME,1 0 +1,1 0 +1,,,1 0 +1
BerserX BME,1 0 +1,,1 0 +1,2 0 +2,
NcSlasher BME,,,0 1 -1,,1 0 +1
