,Akame DFM,SSeeS DFM,Meiy DFM,gyen DFM,Jinboong DFM
dos9 BME,2 2 +0,4 1 +3,2 6 -4,2 1 +1,1 2 -1
Shiro BME,2 2 +0,2 1 +1,2 4 -2,0 3 -3,0 3 -3
Famouz BME,3 2 +1,2 3 -1,4 0 +4,0 5 -5,3 3 +0
BerserX BME,3 1 +2,0 1 -1,2 4 -2,4 4 +0,1 2 -1
NcSlasher BME,0 3 -3,0 1 -1,0 5 -5,1 3 -2,1 3 -2
