,AvovA APK,batujnax APK,Governor APK,florescent APK,MOLSI APK
runneR GX,,,0 1 -1,1 1 +0,
Cloud GX,0 1 -1,1 0 +1,2 0 +2,,2 0 +2
westside GX,,,1 0 +1,0 2 -2,
ara GX,2 0 +2,3 0 +3,,1 1 +0,1 0 +1
Flickless GX,,0 1 -1,,0 1 -1,
