,AvovA APK,batujnax APK,Governor APK,florescent APK,MOLSI APK
runneR GX,,0 1 -1,,0 2 -2,0 1 -1
Cloud GX,0 1 -1,1 0 +1,0 1 -1,,1 0 +1
westside GX,,0 1 -1,1 0 +1,2 0 +2,
ara GX,,,1 2 -1,0 1 -1,0 1 -1
Flickless GX,1 0 +1,,0 1 -1,0 1 -1,
