Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Bind,1,"""1-0""",FPX,Defenders,Elimination
2Bind,2,"""2-0""",FPX,Defenders,Elimination
2Bind,3,"""2-1""",TH,Attackers,Elimination
2Bind,4,"""3-1""",FPX,Defenders,Time Expired
2Bind,5,"""3-2""",TH,Attackers,Spike Detonation
2Bind,6,"""4-2""",FPX,Defenders,Defuse
2Bind,7,"""5-2""",FPX,Defenders,Elimination
2Bind,8,"""5-3""",TH,Attackers,Elimination
2Bind,9,"""6-3""",FPX,Defenders,Elimination
2Bind,10,"""7-3""",FPX,Defenders,Elimination
2Bind,11,"""7-4""",TH,Attackers,Elimination
2Bind,12,"""8-4""",FPX,Defenders,Defuse
2Bind,13,"""9-4""",TH,Attackers,Elimination
2Bind,14,"""10-4""",TH,Attackers,Spike Detonation
2Bind,15,"""10-5""",FPX,Defenders,Elimination
2Bind,16,"""10-6""",FPX,Defenders,Defuse
2Bind,17,"""10-7""",FPX,Defenders,Elimination
2Bind,18,"""10-8""",FPX,Defenders,Elimination
2Bind,19,"""10-9""",FPX,Defenders,Defuse
2Bind,20,"""11-9""",TH,Attackers,Elimination
2Bind,21,"""12-9""",TH,Attackers,Elimination
2Bind,22,"""13-9""",TH,Attackers,Elimination
2Bind,23,"""""",,,
2Bind,24,"""""",,,
