,something PRX,d4v41 PRX,f0rsakeN PRX,Jinggg PRX,mindfreak PRX
HYUNMIN DRX,2 4 -2,4 3 +1,7 4 +3,6 4 +2,3 3 +0
Flashback DRX,2 4 -2,3 2 +1,5 1 +4,1 4 -3,1 5 -4
free1ng DRX,4 4 +0,1 1 +0,2 6 -4,3 2 +1,0 4 -4
MaKo DRX,2 5 -3,7 1 +6,4 4 +0,4 3 +1,6 2 +4
BeYN DRX,2 3 -1,2 1 +1,1 6 -5,1 6 -5,3 1 +2
