,something PRX,d4v41 PRX,f0rsakeN PRX,Jinggg PRX,mindfreak PRX
HYUNMIN DRX,4 2 +2,3 4 -1,3 2 +1,2 3 -1,4 4 +0
Flashback DRX,2 3 -1,3 2 +1,5 3 +2,3 5 -2,4 3 +1
free1ng DRX,3 3 +0,3 4 -1,2 6 -4,3 3 +0,1 1 +0
MaKo DRX,0 4 -4,2 2 +0,3 4 -1,1 2 -1,2 2 +0
BeYN DRX,4 4 +0,3 4 -1,4 3 +1,2 0 +2,5 1 +4
