,something PRX,d4v41 PRX,f0rsakeN PRX,Jinggg PRX,mindfreak PRX
HYUNMIN DRX,1 0 +1,,2 1 +1,,1 1 +0
Flashback DRX,0 1 -1,,1 1 +0,1 0 +1,2 1 +1
free1ng DRX,1 0 +1,,1 1 +0,1 0 +1,0 1 -1
MaKo DRX,,1 1 +0,,1 0 +1,
BeYN DRX,0 1 -1,,,,
