,something PRX,d4v41 PRX,f0rsakeN PRX,Jinggg PRX,mindfreak PRX
HYUNMIN DRX,,,4 0 +4,1 1 +0,1 0 +1
Flashback DRX,1 0 +1,,1 0 +1,,
free1ng DRX,2 1 +1,,1 1 +0,,
MaKo DRX,0 1 -1,,1 1 +0,,1 0 +1
BeYN DRX,1 0 +1,1 0 +1,0 2 -2,,1 0 +1
