,something PRX,d4v41 PRX,f0rsakeN PRX,Jinggg PRX,mindfreak PRX
HYUNMIN DRX,2 1 +1,1 1 +0,2 0 +2,,
Flashback DRX,,1 2 -1,3 0 +3,,1 0 +1
free1ng DRX,1 0 +1,,1 1 +0,1 1 +0,
MaKo DRX,,,1 0 +1,,
BeYN DRX,,,,,
