,kamyk TL,nAts TL,paTiTek TL,keiko TL,kamo TL
S1Mon EDG,1 0 +1,,,0 1 -1,1 1 +0
Smoggy EDG,,2 0 +2,1 0 +1,1 0 +1,2 2 +0
ZmjjKK EDG,2 1 +1,7 2 +5,3 0 +3,2 1 +1,0 3 -3
nobody EDG,1 1 +0,0 2 -2,1 3 -2,1 0 +1,2 2 +0
CHICHOO EDG,0 2 -2,1 0 +1,1 0 +1,0 1 -1,1 1 +0
