,kamyk TL,nAts TL,paTiTek TL,keiko TL,kamo TL
S1Mon EDG,3 1 +2,4 1 +3,2 4 -2,3 1 +2,2 4 -2
Smoggy EDG,2 1 +1,1 0 +1,4 2 +2,4 5 -1,3 2 +1
ZmjjKK EDG,2 4 -2,5 6 -1,5 2 +3,1 2 -1,2 2 +0
nobody EDG,2 0 +2,0 3 -3,2 4 -2,5 1 +4,2 4 -2
CHICHOO EDG,6 2 +4,2 3 -1,4 2 +2,1 1 +0,5 2 +3
