,kamyk TL,nAts TL,paTiTek TL,keiko TL,kamo TL
S1Mon EDG,,,,0 1 -1,0 1 -1
Smoggy EDG,,1 0 +1,,1 0 +1,1 1 +0
ZmjjKK EDG,1 1 +0,3 0 +3,2 0 +2,2 1 +1,0 2 -2
nobody EDG,1 1 +0,0 2 -2,1 2 -1,1 0 +1,1 2 -1
CHICHOO EDG,0 1 -1,1 0 +1,1 0 +1,0 1 -1,0 1 -1
