,kamyk TL,nAts TL,paTiTek TL,keiko TL,kamo TL
S1Mon EDG,2 4 -2,4 6 -2,3 2 +1,6 5 +1,1 6 -5
Smoggy EDG,2 5 -3,4 6 -2,2 3 -1,5 8 -3,2 5 -3
ZmjjKK EDG,8 5 +3,6 4 +2,7 4 +3,6 7 -1,6 7 -1
nobody EDG,4 4 +0,5 5 +0,4 4 +0,4 4 +0,8 10 -2
CHICHOO EDG,7 5 +2,7 4 +3,9 3 +6,5 7 -2,8 6 +2
