,kamyk TL,nAts TL,paTiTek TL,keiko TL,kamo TL
S1Mon EDG,1 0 +1,,,,1 0 +1
Smoggy EDG,,1 0 +1,1 0 +1,,1 1 +0
ZmjjKK EDG,1 0 +1,4 2 +2,1 0 +1,,0 1 -1
nobody EDG,,,0 1 -1,,1 0 +1
CHICHOO EDG,0 1 -1,,,,1 0 +1
