,kamyk TL,nAts TL,paTiTek TL,keiko TL,kamo TL
S1Mon EDG,,,,,
Smoggy EDG,,,,0 1 -1,
ZmjjKK EDG,1 0 +1,2 1 +1,4 0 +4,,
nobody EDG,,,,,0 2 -2
CHICHOO EDG,,,,,0 1 -1
