,LuoK1ng TE,Kai TE,FengF TE,Biank TE,heybay TE
Kicks VIT,,,,,
ceNder VIT,1 1 +0,0 2 -2,0 2 -2,0 1 -1,
trexx VIT,0 1 -1,3 0 +3,,0 1 -1,
runneR VIT,,0 1 -1,3 2 +1,1 0 +1,0 1 -1
Sayf VIT,1 1 +0,1 2 -1,1 0 +1,0 1 -1,0 1 -1
