,LuoK1ng TE,Kai TE,FengF TE,Biank TE,heybay TE
Kicks VIT,3 3 +0,0 4 -4,1 1 +0,3 3 +0,1 0 +1
ceNder VIT,1 3 -2,3 3 +0,5 1 +4,2 2 +0,3 2 +1
trexx VIT,7 3 +4,5 0 +5,1 2 -1,5 1 +4,6 2 +4
runneR VIT,2 1 +1,4 3 +1,5 5 +0,1 3 -2,3 1 +2
Sayf VIT,2 6 -4,2 3 -1,3 3 +0,4 1 +3,2 0 +2
