,LuoK1ng TE,Kai TE,FengF TE,Biank TE,heybay TE
Kicks VIT,,0 1 -1,0 1 -1,0 2 -2,
ceNder VIT,,0 1 -1,,,
trexx VIT,,2 0 +2,,1 0 +1,1 1 +0
runneR VIT,,,0 2 -2,1 0 +1,0 1 -1
Sayf VIT,0 1 -1,0 1 -1,1 2 -1,1 0 +1,
