,LuoK1ng TE,Kai TE,FengF TE,Biank TE,heybay TE
Kicks VIT,,0 1 -1,,2 1 +1,
ceNder VIT,0 1 -1,1 0 +1,1 0 +1,,1 0 +1
trexx VIT,,,,1 0 +1,
runneR VIT,,1 0 +1,3 1 +2,1 1 +0,
Sayf VIT,1 1 +0,,0 1 -1,1 0 +1,
